id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
14120599,JK161333,2026-02-24 22:00:00,044XX S PULASKI RD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,FALSE,FALSE,821,8,14,57,11,1150427,1874821,2026,2026-03-04T15:45:19.000,41.8124074,-87.72375599,"
,  
(41.812407401, -87.723755992)"
14120407,JK161098,2026-02-24 22:00:00,041XX W ADAMS ST,810,THEFT,OVER $500,APARTMENT,FALSE,TRUE,1115,11,28,26,6,1148832,1898689,2026,2026-03-04T15:45:19.000,41.87793519,-87.72899045,"
,  
(41.877935188, -87.72899045)"
14120505,JK161200,2026-02-24 22:00:00,060XX N KENMORE AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,TRUE,2433,24,48,77,6,1168152,1940159,2026,2026-03-04T15:45:19.000,41.99133566,-87.6568507,"
,  
(41.991335662, -87.656850699)"
14124253,JK164816,2026-02-24 22:00:00,015XX N BOSWORTH AVE,710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,FALSE,FALSE,1433,14,1,24,6,1165778,1910274,2026,2026-03-04T15:45:19.000,41.90938099,-87.66643822,"
,  
(41.909380985, -87.666438218)"
14121360,JK162233,2026-02-24 21:58:00,032XX S PRAIRIE AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,211,2,3,35,6,1178466,1883520,2026,2026-03-04T15:45:19.000,41.83568634,-87.62064461,"
,  
(41.835686337, -87.620644613)"
14120750,JK161591,2026-02-24 21:50:00,016XX W BELMONT AVE,760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,FALSE,FALSE,1922,19,32,6,6,1164766,1921308,2026,2026-03-04T15:45:19.000,41.93968048,-87.66984221,"
,  
(41.939680477, -87.669842213)"
14120417,JK161086,2026-02-24 21:46:00,026XX N ELSTON AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,1432,14,32,22,6,1160867,1917657,2026,2026-03-04T15:45:19.000,41.92974382,-87.68427378,"
,  
(41.929743818, -87.684273777)"
14120490,JK161147,2026-02-24 21:36:00,020XX N CICERO AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,2522,25,26,19,08B,1144063,1913069,2026,2026-03-04T15:45:19.000,41.91748635,-87.74613988,"
,  
(41.917486347, -87.746139876)"
14120394,JK161082,2026-02-24 21:36:00,038XX W LAWRENCE AVE,460,BATTERY,SIMPLE,RESTAURANT,FALSE,FALSE,1712,17,33,14,08B,1149765,1931618,2026,2026-03-04T15:45:19.000,41.96827726,-87.72470652,"
,  
(41.968277258, -87.724706522)"
14120560,JK161258,2026-02-24 21:30:00,003XX N HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1214,12,34,28,14,1170974,1902779,2026,2026-03-04T15:45:19.000,41.88870181,-87.64757061,"
,  
(41.888701814, -87.647570608)"
